station1,station2,line,time
West Ruislip,Ruislip Gardens,Central,2.0
Ruislip Gardens,South Ruislip,Central,1.0
South Ruislip,Northolt,Central,2.0
Northolt,Greenford,Central,2.0
Greenford,Perivale,Central,1.0
Perivale,Hanger Lane,Central,2.0
Hanger Lane,North Acton,Central,3.0
North Acton,East Acton,Central,2.0
East Acton,White City,Central,3.0
White City,Shepherd's Bush,Central,3.0
Shepherd's Bush,Holland Park,Central,2.0
Holland Park,Notting Hill Gate,Central,1.0
Notting Hill Gate,Queensway,Central,1.0
Queensway,Lancaster Gate,Central,1.0
Lancaster Gate,Marble Arch,Central,2.0
Marble Arch,Bond Street,Central,1.0
Bond Street,Oxford Circus,Central,1.0
Oxford Circus,Tottenham Court Road,Central,1.0
Tottenham Court Road,Holborn,Central,2.0
Holborn,Chancery Lane,Central,1.0
Chancery Lane,St. Paul's,Central,1.0
St. Paul's,Bank,Central,1.0
Bank,Liverpool Street,Central,1.0
Liverpool Street,Bethnal Green,Central,2.0
Bethnal Green,Mile End,Central,2.0
Mile End,Stratford,Central,2.0
Stratford,Leyton,Central,3.0
Leyton,Leytonstone,Central,2.0
Leytonstone,Snaresbrook,Central,1.0
Snaresbrook,South Woodford,Central,1.0
South Woodford,Woodford,Central,1.0
Woodford,Buckhurst Hill,Central,2.0
Buckhurst Hill,Loughton,Central,1.0
Loughton,Debden,Central,2.0
Debden,Theydon Bois,Central,2.0
Theydon Bois,Epping,Central,2.0
Leytonstone,Wanstead,Central,1.0
Wanstead,Redbridge,Central,1.0
Redbridge,Gants Hill,Central,1.0
Gants Hill,Newbury Park,Central,1.0
Newbury Park,Barkingside,Central,1.0
Barkingside,Fairlop,Central,1.0
Fairlop,Hainault,Central,1.0
Hainault,Grange Hill,Central,1.0
Grange Hill,Chigwell,Central,2.0
Chigwell,Roding Valley,Central,1.0
Roding Valley,Woodford,Central,1.0
Elephant & Castle,Lambeth North,Bakerloo,2.0
Lambeth North,Waterloo,Bakerloo,2.0
Waterloo,Embankment,Bakerloo,1.0
Embankment,Charing Cross,Bakerloo,1.0
Charing Cross,Piccadilly Circus,Bakerloo,2.0
Piccadilly Circus,Oxford Circus,Bakerloo,2.0
Oxford Circus,Regent's Park,Bakerloo,2.0
Regent's Park,Baker Street,Bakerloo,2.0
Baker Street,Marylebone,Bakerloo,1.0
Marylebone,Edgware Road (Bakerloo),Bakerloo,1.0
Edgware Road (Bakerloo),Paddington,Bakerloo,2.0
Paddington,Warwick Avenue,Bakerloo,2.0
Warwick Avenue,Maida Vale,Bakerloo,2.0
Maida Vale,Kilburn Park,Bakerloo,2.0
Kilburn Park,Queen's Park,Bakerloo,3.0
Queen's Park,Kensal Green,Bakerloo,3.0
Kensal Green,Willesden Junction,Bakerloo,3.0
Willesden Junction,Harlesden,Bakerloo,2.0
Harlesden,Stonebridge Park,Bakerloo,3.0
Stonebridge Park,Wembley Central,Bakerloo,2.0
Wembley Central,North Wembley,Bakerloo,2.0
North Wembley,South Kenton,Bakerloo,2.0
South Kenton,Kenton,Bakerloo,2.0
Kenton,Harrow & Wealdstone,Bakerloo,5.0
Stanmore,Canons Park,Jubilee,2.0
Canons Park,Queensbury,Jubilee,2.0
Queensbury,Kingsbury,Jubilee,2.0
Kingsbury,Wembley Park,Jubilee,5.0
Wembley Park,Neasden,Jubilee,2.0
Neasden,Dollis Hill,Jubilee,2.0
Dollis Hill,Willesden Green,Jubilee,2.0
Willesden Green,Kilburn,Jubilee,2.0
Kilburn,West Hampstead,Jubilee,2.0
West Hampstead,Finchley Road,Jubilee,1.0
Finchley Road,Swiss Cottage,Jubilee,2.0
Swiss Cottage,St. John's Wood,Jubilee,1.0
St. John's Wood,Baker Street,Jubilee,3.0
Baker Street,Bond Street,Jubilee,2.0
Bond Street,Green Park,Jubilee,2.0
Green Park,Westminster,Jubilee,2.0
Westminster,Waterloo,Jubilee,2.0
Waterloo,Southwark,Jubilee,1.0
Southwark,London Bridge,Jubilee,2.0
London Bridge,Bermondsey,Jubilee,3.0
Bermondsey,Canada Water,Jubilee,1.0
Canada Water,Canary Wharf,Jubilee,3.0
Canary Wharf,North Greenwich,Jubilee,2.0
North Greenwich,Canning Town,Jubilee,3.0
Canning Town,West Ham,Jubilee,2.0
West Ham,Stratford,Jubilee,4.0
Brixton,Stockwell,Victoria,2.0
Stockwell,Vauxhall,Victoria,2.0
Vauxhall,Pimlico,Victoria,1.0
